ANIMAL,SPEED,SIZE,WEIGHT,HABITAT,LEVEL OF WARNING,FOOD,Panic behaviour
Californian sea lion,,,110-300,water,,fish,
King penguin,,,15,polar regions,,fish,
American Bison,56,,800 - 1000,"Park landscapes , prairies",,Grass,run
Artic fox,48,,"2,5 - 5",polar regions,,"Birds , small mammals,vegetation",
Polar Bear,40,,400,polar regions,,Meat,
Yellow Anaconda,,,40,rivers,,"mamals , fish",
Leopard,58,,60-90,forests,,mammals,
Asian Elephant,40,,3000-4000,"forests , grassland",,vegetation,
Asian Lion,80,,150-250,grasslands,,mammals,
Camel,65,,450-700,dry grasslands,,"grass , leaves",
Banteng,,,,"open areas , forests",,"grass , vegetation",
Indian rhinoceros,55,,1500-3000,grasslands,,"grass , leaves",
Komodo dragon,20,,135,wooden areas,,"mammals , small mammals",
Red panda,38,,3.0-6,forests,,"vegetation , small mammals",
Sulawesi crested macaque,,,5.5-13,"forests , tropical",,"leaves , insects",
Sumatran tiger,96,,120-160,"tropical , mountain",,mammals,
Tufted deer,,,20,"forests , mountains",,"grass , leaves",
Visayan warty pig,,,30-40,tropical,,vegetation,
Black rhinoceros,,,800-1400,forest savannah,,"leaves , grass",
Bongo,,,250-400,"tropical , mountain",,"leaves , vegetation",
Zebra,64,,250,savannah,,grass,
Ostrich,,,100-150,savannah,,"vegetation , small non-mammal",
Buffalo,,,270-320,tropical,,grass,
Greater Kudu,,,200-300,"savannah , mountains",,grass,
Mhorr Gazelle,,,85,"desert , steppe",,grass,
Nile crocodile,,,700,"rivers , lakes",,"mammals , fish",
pygmy hippopotamus,,,275,rivers,,"leaves , grass , vegetation",
Giraffe,,,500-1800,"steppe , savannah , forest",,"leaves , grass",
Lemur,,,3.5,forests ,,"leaves , vegetation",
Serval,,,7.0 - 14,grasslands,,small mammals - small non-mammal,
Hyaena,64,,60-90,savannah,,meat,
Vulture,,,,,,,
Gorilla,,,90-200,"forests , tropical",,"vegetation , leaves",
Reindeer,51,,60-315,"tundra , mountains , forests",,"grass , leaves , vegetation",
flamingo,,,,,,,
Wallaby,,,12.5-21,forests,,"leaves , grass . Vegetation",
